"Old_ID","ID","species","old_species"
"3019322_R_1968_DIV_22_4_S170_L001_R1_001.unique.mapped.sorted.bam","R_1968_DIV_22_4","Secale cereale","Secale cereale"
"3019323_R_1084_DIV_22_1_S99_L001_R1_001.unique.mapped.sorted.bam","R_1084_DIV_22_1","Secale cereale","Secale cereale"
"3019324_R_1185_DIV_22_1_S110_L001_R1_001.unique.mapped.sorted.bam","R_1185_DIV_22_1","Secale cereale","Secale cereale"
"3019325_R_1213_DIV_22_1_S120_L001_R1_001.unique.mapped.sorted.bam","R_1213_DIV_22_1","Secale cereale","Secale cereale"
"3019326_R_1257_DIV_22_1_S131_L001_R1_001.unique.mapped.sorted.bam","R_1257_DIV_22_1","Secale cereale","Secale cereale"
"3019327_R_1384_DIV_22_1_S141_L001_R1_001.unique.mapped.sorted.bam","R_1384_DIV_22_1","Secale cereale","Secale cereale"
"3019328_R_1450_DIV_22_1_S151_L001_R1_001.unique.mapped.sorted.bam","R_1450_DIV_22_1","Secale cereale","Secale cereale"
"3019329_R_1554_DIV_22_6_S161_L001_R1_001.unique.mapped.sorted.bam","R_1554_DIV_22_6","Secale cereale","Secale cereale"
"3019330_R_1968_DIV_22_5_S171_L001_R1_001.unique.mapped.sorted.bam","R_1968_DIV_22_5","Secale cereale","Secale cereale"
"3019331_R_1084_DIV_22_2_S100_L001_R1_001.unique.mapped.sorted.bam","R_1084_DIV_22_2","Secale cereale","Secale cereale"
"3019332_R_1185_DIV_22_2_S111_L001_R1_001.unique.mapped.sorted.bam","R_1185_DIV_22_2","Secale cereale","Secale cereale"
"3019333_R_1213_DIV_22_2_S121_L001_R1_001.unique.mapped.sorted.bam","R_1213_DIV_22_2","Secale cereale","Secale cereale"
"3019334_R_1257_DIV_22_2_S132_L001_R1_001.unique.mapped.sorted.bam","R_1257_DIV_22_2","Secale cereale","Secale cereale"
"3019335_R_1384_DIV_22_2_S142_L001_R1_001.unique.mapped.sorted.bam","R_1384_DIV_22_2","Secale cereale","Secale cereale"
"3019336_R_1450_DIV_22_2_S152_L001_R1_001.unique.mapped.sorted.bam","R_1450_DIV_22_2","Secale cereale","Secale cereale"
"3019337_R_1890_DIV_22_1_S162_L001_R1_001.unique.mapped.sorted.bam","R_1890_DIV_22_1","Secale cereale","Secale cereale"
"3019338_R_1968_DIV_22_6_S172_L001_R1_001.unique.mapped.sorted.bam","R_1968_DIV_22_6","Secale cereale","Secale cereale"
"3019339_R_1084_DIV_22_3_S101_L001_R1_001.unique.mapped.sorted.bam","R_1084_DIV_22_3","Secale cereale","Secale cereale"
"3019340_R_1185_DIV_22_3_S112_L001_R1_001.unique.mapped.sorted.bam","R_1185_DIV_22_3","Secale cereale","Secale cereale"
"3019341_R_1213_DIV_22_3_S122_L001_R1_001.unique.mapped.sorted.bam","R_1213_DIV_22_3","Secale cereale","Secale cereale"
"3019342_R_1257_DIV_22_3_S133_L001_R1_001.unique.mapped.sorted.bam","R_1257_DIV_22_3","Secale cereale","Secale cereale"
"3019343_R_1384_DIV_22_3_S143_L001_R1_001.unique.mapped.sorted.bam","R_1384_DIV_22_3","Secale cereale","Secale cereale"
"3019344_R_1450_DIV_22_3_S153_L001_R1_001.unique.mapped.sorted.bam","R_1450_DIV_22_3","Secale cereale","Secale cereale"
"3019345_R_1890_DIV_22_2_S163_L001_R1_001.unique.mapped.sorted.bam","R_1890_DIV_22_2","Secale cereale","Secale cereale"
"3019346_R_1972_DIV_22_1_S173_L001_R1_001.unique.mapped.sorted.bam","R_1972_DIV_22_1","Secale cereale","Secale cereale"
"3019347_R_1084_DIV_22_4_S102_L001_R1_001.unique.mapped.sorted.bam","R_1084_DIV_22_4","Secale cereale",NA
"3019348_R_1185_DIV_22_4_S113_L001_R1_001.unique.mapped.sorted.bam","R_1185_DIV_22_4","Secale cereale",NA
"3019349_R_1213_DIV_22_4_S123_L001_R1_001.unique.mapped.sorted.bam","R_1213_DIV_22_4","Secale cereale","Secale cereale"
"3019350_R_1257_DIV_22_4_S134_L001_R1_001.unique.mapped.sorted.bam","R_1257_DIV_22_4","Secale cereale","Secale cereale"
"3019351_R_1384_DIV_22_4_S144_L001_R1_001.unique.mapped.sorted.bam","R_1384_DIV_22_4","Secale cereale","Secale cereale"
"3019352_R_1450_DIV_22_4_S154_L001_R1_001.unique.mapped.sorted.bam","R_1450_DIV_22_4","Secale cereale","Secale cereale"
"3019353_R_1890_DIV_22_3_S164_L001_R1_001.unique.mapped.sorted.bam","R_1890_DIV_22_3","Secale cereale","Secale cereale"
"3019354_R_1972_DIV_22_2_S174_L001_R1_001.unique.mapped.sorted.bam","R_1972_DIV_22_2","Secale cereale","Secale cereale"
